,Max Drawdown,Sharpe Ratio,Sortino Ratio
AAPL,-0.437971611,0.062174604,0.085534374
AMZN,-0.561452633,0.049499088,0.069532364
GOOGL,-0.443200514,0.042686603,0.058755309
JNJ,-0.273662627,0.041005102,0.053526726
MSFT,-0.37148487,0.053845075,0.074092161
^DJI,-0.370861714,0.036363129,0.043298798
^FTSE,-0.366055233,0.014870506,0.018925275
^GSPC,-0.3392496,0.039345673,0.047439845
^IXIC,-0.363952799,0.044132114,0.054880712
^N225,-0.317988965,0.029355831,0.038828653
